,Common Opponents Average Score difference,Date,End Score Diff,Map,Map Score Difference,Match ID,Past Encounters Score Difference,Recent Matches Score Difference,Team 1 ID,Team 2 ID,Winner
6084,-2.5545385202135775,2017-06-01 00:00:00,6,Overpass,1.0187165775401077,2311259,4.0,1.0,7397,5395,1
6085,-2.5545385202135775,2017-06-01 00:00:00,-3,Inferno,-0.44055944055943996,2311259,4.4,-0.6666666666666661,7397,5395,0
6086,-2.5545385202135775,2017-06-01 00:00:00,2,Cobblestone,-1.7013888888888893,2311259,3.1666666666666665,1.0,7397,5395,1
6087,,2017-06-01 00:00:00,3,Cobblestone,-1.2857142857142865,2311183,,-0.6666666666666679,6774,7728,1
6088,,2017-06-01 00:00:00,2,Mirage,-0.9444444444444446,2311183,3.0,0.33333333333333215,6774,7728,1
6089,-5.25,2017-06-01 00:00:00,-6,Mirage,-0.8333333333333339,2311240,,-8.666666666666666,6673,4494,0
6090,-3.387193973634652,2017-06-01 00:00:00,6,Cobblestone,0.2955665024630534,2311239,,-1.333333333333334,5973,7533,1
6091,,2017-06-01 00:00:00,3,Cobblestone,,2311323,,,4992,6322,1
6092,,2017-06-01 00:00:00,-7,Cobblestone,,2311347,,,4992,6322,0
6093,3.1322698570953804,2017-06-01 00:00:00,9,Mirage,2.0026315789473674,2311267,,-12.666666666666666,6137,4494,1
6094,3.1322698570953804,2017-06-01 00:00:00,8,Cache,1.224880382775119,2311267,9.0,-6.333333333333333,6137,4494,1
6095,-6.0,2017-06-01 00:00:00,12,Cobblestone,0.875,2311283,,0.0,7556,6669,1
6096,6.0,2017-06-01 00:00:00,2,Train,-2.25,2311278,-12.0,-2.666666666666666,6669,7556,1
6097,-3.333333333333333,2017-06-01 00:00:00,11,Train,4.375,2311178,,-1.0,7660,6774,1
6098,-1.0238095238095237,2017-06-01 00:00:00,2,Cobblestone,-2.2041666666666675,2311268,4.0,-4.0,5991,5973,1
6099,-1.0238095238095237,2017-06-01 00:00:00,-6,Train,1.7942857142857136,2311268,3.0,-3.333333333333334,5991,5973,0
6100,-1.0238095238095237,2017-06-01 00:00:00,-12,Nuke,-0.5050505050505052,2311268,0.0,-5.333333333333334,5991,5973,0
6101,3.0,2017-06-01 00:00:00,-7,Mirage,-2.0183066361556055,2311184,,2.333333333333332,6211,6774,0
6102,3.0,2017-06-01 00:00:00,11,Nuke,-1.4285714285714288,2311184,-7.0,0.0,6211,6774,1
6103,3.0,2017-06-01 00:00:00,5,Overpass,1.5757575757575744,2311184,2.0,5.0,6211,6774,1
6104,1.25,2017-06-01 00:00:00,10,Cobblestone,0.954545454545455,2311182,,1.333333333333334,7660,6211,1
6105,-10.344129554655872,2017-06-01 00:00:00,-4,Inferno,-3.2619047619047628,2311286,-11.0,-2.0,7669,6669,0
6106,-3.272727272727273,2017-06-01 00:00:00,8,Cobblestone,-1.5209790209790217,2311238,,-4.666666666666666,6615,4608,1
6107,,2017-06-01 00:00:00,8,Cache,,2311322,,,7959,7960,1
6108,5.5,2017-06-01 00:00:00,13,Cobblestone,-0.3478260869565215,2311179,,-1.6666666666666679,6211,7728,1
6109,-8.333333333333334,2017-06-01 00:00:00,-6,Nuke,-14.5,2311295,,-6.999999999999999,7911,7145,0
