,Date,End Score Diff,Map,Match ID,Team 1 ID,Team 2 ID,Winner,Recent Matches Score Difference,Past Encounters Score Difference,Common Opponents Average Score difference,Map Score Difference,Winner(predicted),Predicted Probability 0,Predicted Probability 1
38122,2018-01-04 00:00:00,-3,Mirage,2318401,7924,8384,0,0.10517811418447244,0.6779672074275037,-0.1609570826677847,0.16576331172111256,1,0.4033148376420035,0.5966851623579965
38123,2018-01-04 00:00:00,9,Inferno,2318401,7924,8384,1,-0.14870127886990173,0.48303918261172446,-0.1609570826677847,0.11595336863256145,1,0.4291184509088368,0.5708815490911632
38124,2018-01-04 00:00:00,-4,Train,2318401,7924,8384,0,0.4436839715903055,0.6159446540770285,-0.1609570826677847,-0.21652309248781113,1,0.4071460007687635,0.5928539992312365
38125,2018-01-04 00:00:00,-2,Mirage,2318400,6745,8068,0,-0.4025806719242768,-0.9346191796848521,-0.392360707652153,0.0013577728908592984,0,0.5665508973620001,0.4334491026379999
38126,2018-01-04 00:00:00,-5,Train,2318400,6745,8068,0,-0.5718336006271931,-0.8912033923395194,-0.392360707652153,-0.38830739730691516,0,0.5830663422294939,0.416933657770506
38132,2018-01-05 00:00:00,3,Train,2318438,7354,8587,1,0.18980457853593083,0.4298769940256028,2.44614329070115,-0.970365303817537,1,0.27060071999330826,0.7293992800066917
38136,2018-01-04 00:00:00,10,Inferno,2318425,7606,4865,1,0.2744310428873892,1.0376980168602603,0.8156189945901375,0.5466817424601924,1,0.2923260739676107,0.7076739260323893
38137,2018-01-05 00:00:00,12,Cobblestone,2318439,7606,8497,1,2.897851437782594,1.7323506143855825,2.1215536566125484,1.4176070857045115,1,0.11465713404475564,0.8853428659552444
38138,2018-01-05 00:00:00,-6,Mirage,2318439,7606,8497,0,3.067104366485511,1.9184182744370082,2.1215536566125484,0.5910786996178327,1,0.11770573571879062,0.8822942642812094
38139,2018-01-05 00:00:00,8,Inferno,2318439,7606,8497,1,1.7130809368621787,0.8640348674789294,2.1215536566125484,1.3062098107698827,1,0.17119172526507176,0.8288082747349282
38141,2018-01-05 00:00:00,9,Mirage,2318407,5929,7924,1,-1.2488453154388588,1.8253844444112954,-0.21946917480108455,-0.10839989070253812,1,0.386991070807576,0.613008929192424
38144,2018-01-07 00:00:00,-3,Cache,2318448,6468,5680,0,1.3745750794563456,0.04928405301132305,-0.4593641031388487,0.09626137577403428,1,0.4240105071612149,0.5759894928387851
38145,2018-01-07 00:00:00,-4,Inferno,2318448,6468,5680,0,1.2899486151048878,0.017292182607224184,-0.4593641031388487,-0.7813819559292648,1,0.45926084215248275,0.5407391578475172
38147,2018-01-05 00:00:00,-4,Mirage,2318408,8502,8384,0,-1.1642188510874008,-1.5238334365143669,-0.16084029321118,0.5679857768471919,0,0.6029286043916191,0.39707139560838084
38150,2018-01-06 00:00:00,-3,Inferno,2318415,8384,8502,0,1.120695686401971,1.050102527530355,-0.12468151161388207,3.350845596926084,1,0.24724898131073847,0.7527510186892615
38151,2018-01-05 00:00:00,5,Cobblestone,2318410,8068,5929,1,1.4592015438078039,-0.25237109282962467,-0.059916433978323656,-0.26082857239856067,1,0.42408978192004443,0.5759102180799556
38155,2018-01-06 00:00:00,-10,Inferno,2318443,7354,7606,0,0.7821898289961384,0.6159446540770285,-0.702548134323833,-0.40731101117131996,1,0.4414774230190024,0.5585225769809976
38156,2018-01-06 00:00:00,7,Train,2318443,7354,7606,1,-0.5718336006271931,-0.6865289662829512,-0.702548134323833,-0.5189474605038773,0,0.5960377533993799,0.40396224660062013
38159,2018-01-07 00:00:00,-4,Mirage,2318418,5929,8068,0,-1.1642188510874008,-0.2678767311672435,-0.22560537084673843,0.14080913816872204,0,0.53008269768833,0.46991730231166995
38160,2018-01-07 00:00:00,-4,Train,2318418,5929,8068,0,-0.8257129936815678,-0.38882071020067016,-0.22560537084673843,-0.2939629791351001,0,0.5402030814291104,0.45979691857088956
38161,2018-01-06 00:00:00,7,Inferno,2318445,7606,4865,1,0.1051781141844729,1.0811138042055928,0.8205558961524853,0.6020361367792713,1,0.29342841306750034,0.7065715869324997
38162,2018-01-06 00:00:00,-3,Mirage,2318445,7606,4865,0,0.782189828996138,1.0865863824423996,0.8205558961524853,0.1781994341742325,1,0.2824717357887645,0.7175282642112355
38163,2018-01-06 00:00:00,3,Train,2318445,7606,4865,1,0.5283104359417633,0.98807997417988,0.8205558961524853,0.4894133985635728,1,0.2882062802198745,0.7117937197801255
38167,2018-01-07 00:00:00,-9,Cobblestone,2318446,7967,5680,0,-1.9258570302505247,-1.8029349265915056,-1.1755064539985147,-0.206156982675275,0,0.7402926721637568,0.2597073278362431
38168,2018-01-07 00:00:00,-6,Inferno,2318402,5929,4608,0,-0.2333277432213601,-0.3143936461800999,-0.3741291453833389,-0.5711751235403794,0,0.531767584266263,0.46823241573373703
38169,2018-01-07 00:00:00,2,Mirage,2318402,5929,4608,1,-0.9103394580330262,-0.5004613062315256,-0.3741291453833389,0.08620395176512337,0,0.550539508704176,0.44946049129582405
